order_id,customer_id,order_date,status,total_amount
O0000080,C004661,2026-06-02 00:33:00,completed,7917.87
O0000081,C003636,2026-02-24 10:01:00,pending,10013.06
O0000082,C009539,2026-03-05 07:16:00,pending,9471.88
O0000083,C001265,2026-03-25 15:11:00,completed,11418.65
O0000084,C005479,2026-03-31 13:26:00,cancelled,4169.46
O0000085,C009869,2026-01-03 20:49:00,completed,9671.5
O0000086,C007301,2026-06-02 18:32:00,completed,12224.12
O0000087,C005508,2026-01-22 15:36:00,completed,9943.2
O0000088,C002210,2026-05-04 17:12:00,completed,6862.66
O0000089,C003971,2026-01-19 08:49:00,completed,9468.77
O0000090,C005707,2026-02-18 10:22:00,completed,5679.36
O0000091,C002774,2026-03-31 19:52:00,refunded,3317.29
O0000092,C002556,2026-01-22 03:47:00,completed,9328.45
O0000093,C001824,2026-03-20 14:30:00,completed,9242.58
O0000094,C000302,2026-04-07 18:57:00,completed,5407.28
O0000095,C000870,2026-04-30 20:00:00,completed,3659.91
O0000096,C000313,2026-03-16 20:24:00,completed,328.68
O0000097,C005169,2026-05-05 19:34:00,completed,4934.76
O0000098,C005466,2026-05-06 12:47:00,completed,26140.79
O0000099,C006344,2026-01-08 17:17:00,completed,4784.61
O0000100,C008532,2026-06-23 19:55:00,completed,21188.84
O0000101,C007360,2026-05-19 04:13:00,completed,4330.34
O0000102,C005063,2026-06-26 22:57:00,completed,8780.04
O0000103,C009255,2026-02-10 10:04:00,completed,7963.22
O0000104,C006784,2026-04-16 09:28:00,completed,8634.05
O0000105,C001750,2026-02-03 05:01:00,pending,2826.04
O0000106,C003784,2026-06-25 00:22:00,completed,9931.56
O0000107,C006127,2026-02-17 12:31:00,completed,9051.45
O0000108,C003647,2026-06-21 06:48:00,completed,17933.95
O0000109,C007497,2026-03-05 13:25:00,pending,4104.39
O0000110,C006458,2026-06-06 23:36:00,completed,1911.95
O0000111,C008531,2026-01-28 14:29:00,pending,16279.8
O0000112,C004990,2026-03-15 14:10:00,completed,5001.44
O0000113,C002946,2026-05-30 22:34:00,completed,4425.2
O0000114,C009672,2026-02-21 14:05:00,completed,8014.54
O0000115,C007363,2026-06-12 11:05:00,completed,4240.26
O0000116,C006205,2026-05-21 12:02:00,pending,7150.61
O0000117,C006875,2026-03-20 09:46:00,pending,3540.9
O0000118,C003324,2026-01-01 19:48:00,completed,17953.85
O0000119,C009962,2026-05-07 07:13:00,completed,39.03
O0000120,C004010,2026-05-21 08:39:00,completed,6514.35
O0000121,C005719,2026-01-10 04:54:00,completed,2113.4
O0000122,C000804,2026-01-28 13:11:00,completed,4930.7
O0000123,C009486,2026-04-03 01:05:00,pending,312.74
O0000124,C007002,2026-05-21 02:18:00,completed,15337.73
O0000125,C001791,2026-05-27 23:40:00,completed,6356.08
O0000126,C009219,2026-05-08 16:46:00,completed,6841.48
O0000127,C001937,2026-01-07 14:40:00,pending,8859.16
O0000128,C005469,2026-03-31 17:51:00,completed,1470.31
O0000129,C004169,2026-01-18 09:19:00,completed,10634.9
O0000130,C009322,2026-06-07 00:53:00,completed,11035.68
O0000131,C000583,2026-06-15 04:30:00,completed,3420.96
O0000132,C007578,2026-04-16 23:03:00,pending,8546.58
O0000133,C005794,2026-01-17 04:17:00,pending,12284.08
O0000134,C003071,2026-06-02 03:55:00,pending,7301.14
O0000135,C001423,2026-05-08 07:23:00,completed,8055.86
O0000136,C003312,2026-01-24 14:32:00,completed,5220.42
O0000137,C007922,2026-05-15 09:49:00,completed,7789.01
O0000138,C008559,2026-01-30 00:19:00,cancelled,7164.5
O0000139,C000756,2026-01-27 16:49:00,completed,4289.36
O0000140,C003155,2026-03-15 08:34:00,completed,5056.61
O0000141,C009169,2026-05-12 03:13:00,completed,4088.18
O0000142,C002807,2026-01-19 09:39:00,cancelled,12471.5
O0000143,C000476,2026-05-01 21:03:00,completed,18209.99
O0000144,C008741,2026-01-21 14:36:00,completed,16793.56
O0000145,C007710,2026-03-01 07:09:00,cancelled,633.18
O0000146,C005413,2026-03-25 14:31:00,completed,1145.62
O0000147,C005759,2026-05-03 14:54:00,completed,6527.95
O0000148,C004950,2026-05-17 14:25:00,completed,2935.26
O0000149,C008978,2026-02-10 15:24:00,completed,8970.99
O0000150,C002836,2026-06-19 21:04:00,completed,17977.39
O0000151,C002887,2026-03-20 12:04:00,completed,9394.0
O0000152,C001008,2026-01-24 06:52:00,completed,428.35
O0000153,C002404,2026-06-19 04:28:00,completed,4736.9
O0000154,C005188,2026-03-18 18:50:00,cancelled,11811.47
O0000155,C002090,2026-03-17 01:23:00,cancelled,7697.0
O0000156,C003855,2026-04-21 22:37:00,completed,14336.6
O0000157,C007131,2026-05-20 06:42:00,completed,13479.19
O0000158,C002057,2026-02-04 00:04:00,completed,13894.86
O0000159,C006814,2026-04-27 22:38:00,cancelled,6680.93
O0000160,C003699,2026-02-17 13:38:00,completed,3170.08
O0000161,C006732,2026-05-20 18:23:00,completed,7762.47
O0000162,C007618,2026-05-13 02:33:00,cancelled,4664.78
O0000163,C000865,2026-03-29 17:49:00,completed,2766.18
O0000164,C006898,2026-04-01 09:18:00,completed,6024.45
O0000165,C009473,2026-02-13 18:03:00,completed,4342.06
O0000166,C002078,2026-05-10 02:54:00,pending,9742.87
O0000167,C009894,2026-02-14 18:47:00,completed,659.98
O0000168,C007945,2026-02-16 16:55:00,completed,8692.22
O0000169,C006766,2026-04-09 07:42:00,completed,13624.41
O0000170,C001901,2026-01-14 05:29:00,completed,3100.32
O0000171,C006223,2026-06-24 22:24:00,completed,14330.4
O0000172,C001596,2026-05-17 20:22:00,refunded,19492.3
O0000173,C007555,2026-06-22 23:15:00,completed,5615.38
O0000174,C000139,2026-01-18 00:26:00,completed,2090.08
O0000175,C004642,2026-03-06 06:02:00,completed,7777.04
O0000176,C001817,2026-06-28 05:16:00,completed,6986.54
O0000177,C005299,2026-03-07 05:49:00,completed,6080.15
O0000178,C001138,2026-05-06 06:39:00,completed,947.96
O0000179,C001777,2026-02-06 17:49:00,completed,6419.39
O0000180,C001195,2026-01-19 18:46:00,completed,3458.69
O0000181,C002439,2026-06-17 20:00:00,cancelled,8570.23
O0000182,C009415,2026-01-01 16:45:00,cancelled,19601.56
O0000183,C001149,2026-05-19 07:00:00,completed,4586.43
O0000184,C006564,2026-01-15 20:41:00,completed,3954.3
O0000185,C001319,2026-04-28 09:41:00,completed,98.56
O0000186,C004897,2026-06-28 12:57:00,completed,6996.03
O0000187,C007971,2026-01-22 20:28:00,completed,15835.57
O0000188,C008187,2026-05-17 14:01:00,completed,3144.2
O0000189,C003469,2026-06-17 21:33:00,completed,1084.24
O0000190,C001181,2026-01-10 23:09:00,completed,8228.72
O0000191,C000751,2026-03-04 22:41:00,completed,6973.17
O0000192,C001743,2026-01-30 15:38:00,pending,7629.48
O0000193,C006587,2026-03-25 03:43:00,completed,12321.93
O0000194,C001979,2026-03-12 04:48:00,completed,9064.56
O0000195,C002186,2026-01-26 20:39:00,completed,9877.51
O0000196,C006820,2026-06-27 15:44:00,completed,16675.51
O0000197,C009770,2026-02-16 22:31:00,completed,7173.34
O0000198,C008687,2026-01-25 19:23:00,cancelled,7253.67
O0000199,C002445,2026-06-25 15:31:00,completed,1637.63
O0000200,C007122,2026-03-06 10:39:00,pending,1537.48
O0000201,C000860,2026-05-18 05:10:00,pending,8275.96
O0000202,C009711,2026-05-29 10:26:00,completed,12855.91
O0000203,C001607,2026-03-02 23:26:00,cancelled,10369.36
O0000204,C002375,2026-02-25 19:29:00,completed,11490.3
O0000205,C004419,2026-02-21 10:08:00,completed,16882.36
O0000206,C002805,2026-03-29 07:56:00,completed,4479.34
O0000207,C001417,2026-04-16 16:31:00,cancelled,18225.37
O0000208,C004061,2026-03-25 13:37:00,completed,7362.85
O0000209,C008262,2026-01-09 13:33:00,completed,3964.31
O0000210,C006663,2026-02-25 04:22:00,completed,185.0
O0000211,C000261,2026-05-03 21:19:00,completed,566.67
O0000212,C007453,2026-04-29 04:55:00,completed,13420.56
O0000213,C001159,2026-04-09 22:21:00,completed,5736.87
O0000214,C005501,2026-01-15 16:58:00,completed,12483.12
O0000215,C005990,2026-04-04 05:41:00,completed,19615.36
O0000216,C009505,2026-06-29 06:48:00,completed,8881.43
O0000217,C004541,2026-01-14 02:23:00,completed,118.6
O0000218,C008715,2026-06-23 17:57:00,completed,6721.31
O0000219,C001431,2026-01-21 12:57:00,completed,9658.44
O0000220,C003347,2026-05-14 20:01:00,completed,9005.63
O0000221,C006884,2026-04-24 23:41:00,completed,13386.93
O0000222,C005347,2026-05-05 18:42:00,completed,8663.84
O0000223,C005022,2026-02-13 08:14:00,completed,10856.0
O0000224,C002987,2026-02-14 22:44:00,cancelled,6627.36
O0000225,C001916,2026-01-11 10:36:00,completed,5808.01
O0000226,C005634,2026-02-07 11:28:00,completed,10515.37
O0000227,C002382,2026-04-28 10:09:00,completed,11531.31
O0000228,C009400,2026-06-20 04:51:00,completed,3912.28
O0000229,C005550,2026-06-26 03:46:00,completed,14964.82
O0000230,C001516,2026-03-25 01:38:00,completed,9106.36
O0000231,C001370,2026-05-18 14:43:00,completed,11683.78
O0000232,C007007,2026-04-05 12:23:00,completed,2092.33
O0000233,C003534,2026-04-24 23:26:00,pending,10001.32
O0000234,C002287,2026-05-31 19:05:00,completed,16989.7
O0000235,C006792,2026-02-14 17:29:00,completed,19836.14
O0000236,C009589,2026-03-19 15:35:00,completed,2604.16
O0000237,C002524,2026-03-09 09:40:00,pending,2933.1
O0000238,C006835,2026-02-15 15:58:00,completed,8879.8
O0000239,C009813,2026-04-03 18:30:00,completed,6154.25
O0000240,C002395,2026-03-23 14:56:00,completed,1225.6
O0000241,C000867,2026-03-11 11:26:00,completed,8830.86
O0000242,C001549,2026-06-03 05:34:00,completed,8330.19
O0000243,C001571,2026-05-17 18:22:00,pending,20330.73
O0000244,C002533,2026-05-09 07:53:00,completed,8721.26
O0000245,C001910,2026-02-03 00:30:00,completed,5911.17
O0000246,C000472,2026-01-31 07:08:00,cancelled,3218.68
O0000247,C003439,2026-02-03 02:27:00,completed,10751.72
O0000248,C001767,2026-01-09 21:32:00,completed,5796.44
O0000249,C000710,2026-01-17 09:42:00,completed,9121.52
O0000250,C000480,2026-01-24 04:54:00,completed,11711.81
O0000251,C008273,2026-05-26 02:06:00,pending,7850.34
O0000252,C001617,2026-02-24 16:54:00,completed,1488.4
O0000253,C007204,2026-06-22 03:11:00,pending,16700.52
O0000254,C001808,2026-05-14 04:31:00,pending,2124.09
O0000255,C001348,2026-03-25 15:07:00,completed,4671.44
O0000256,C003701,2026-05-22 13:18:00,refunded,9083.63
O0000257,C006021,2026-02-15 00:43:00,completed,16848.0
O0000258,C002765,2026-01-17 11:12:00,completed,11196.78
O0000259,C008178,2026-03-13 22:49:00,completed,2591.36
O0000260,C009883,2026-04-14 15:32:00,completed,22643.91
O0000261,C000487,2026-01-26 23:03:00,pending,5348.87
O0000262,C002503,2026-03-19 19:39:00,completed,10999.35
O0000263,C008158,2026-05-06 16:16:00,completed,6594.66
O0000264,C005154,2026-04-07 14:29:00,completed,4873.11
O0000265,C002690,2026-05-06 13:08:00,completed,4340.32
O0000266,C009074,2026-06-25 17:36:00,completed,7977.42
O0000267,C005780,2026-03-14 10:03:00,completed,11965.68
O0000268,C005756,2026-01-15 21:15:00,completed,4011.17
O0000269,C004996,2026-01-30 10:10:00,completed,7259.88
O0000270,C004369,2026-01-06 22:30:00,completed,24621.88
O0000271,C001640,2026-06-26 21:13:00,completed,4832.36
O0000272,C004908,2026-04-04 13:12:00,completed,5079.37
O0000273,C004709,2026-03-09 01:19:00,refunded,1100.12
O0000274,C009698,2026-03-28 08:04:00,completed,6219.23
O0000275,C004946,2026-05-10 09:27:00,completed,13414.6
O0000276,C000305,2026-06-10 22:33:00,cancelled,15564.6
O0000277,C008557,2026-02-21 11:29:00,completed,11329.94
O0000278,C006758,2026-03-10 09:41:00,completed,11054.25
O0000279,C004024,2026-03-21 14:31:00,completed,4890.58
O0000280,C002611,2026-03-11 04:01:00,completed,9577.59
O0000281,C007961,2026-01-06 01:55:00,cancelled,5769.71
O0000282,C001480,2026-04-12 23:53:00,completed,5410.53
O0000283,C003901,2026-06-03 03:49:00,pending,9163.78
O0000284,C003572,2026-02-06 03:11:00,completed,12183.89
O0000285,C001851,2026-03-23 17:27:00,completed,11084.35
O0000286,C005050,2026-01-06 20:57:00,completed,4666.82
O0000287,C005068,2026-06-13 22:23:00,cancelled,8431.8
O0000288,C006439,2026-03-07 09:05:00,cancelled,1982.72
O0000289,C004873,2026-02-23 05:58:00,completed,237.34
O0000290,C004490,2026-01-21 15:30:00,completed,19146.75
O0000291,C008296,2026-01-17 11:26:00,completed,3245.73
O0000292,C007265,2026-06-14 04:00:00,completed,6221.34
O0000293,C005141,2026-05-28 02:07:00,completed,670.78
O0000294,C009733,2026-06-25 13:50:00,cancelled,10471.1
O0000295,C004271,2026-02-14 21:37:00,pending,13815.64
O0000296,C009346,2026-02-27 00:01:00,cancelled,1348.07
O0000297,C007577,2026-02-20 08:44:00,cancelled,10566.35
O0000298,C000232,2026-05-15 13:49:00,cancelled,11731.16
O0000299,C003122,2026-03-10 09:47:00,completed,10165.33
O0000300,C006694,2026-02-07 00:18:00,refunded,11384.09
O0000301,C007683,2026-02-04 10:44:00,completed,6398.1
O0000302,C000854,2026-03-27 07:30:00,cancelled,13522.98
O0000303,C006077,2026-02-03 17:02:00,completed,10293.52
O0000304,C002162,2026-01-23 10:45:00,completed,10617.58
O0000305,C005908,2026-04-21 09:57:00,cancelled,3459.72
O0000306,C007140,2026-02-12 10:47:00,refunded,2341.34
O0000307,C009105,2026-06-18 20:51:00,completed,7786.23
O0000308,C007151,2026-01-30 15:02:00,completed,21611.98
O0000309,C002026,2026-03-31 02:13:00,cancelled,9353.14
O0000310,C008619,2026-05-27 05:26:00,cancelled,11869.14
O0000311,C000426,2026-03-14 21:43:00,completed,1870.29
O0000312,C002520,2026-01-08 02:29:00,pending,17113.89
O0000313,C007424,2026-03-25 23:46:00,cancelled,3102.23
O0000314,C001159,2026-05-21 19:24:00,completed,9941.4
O0000315,C001462,2026-01-06 06:10:00,completed,4044.26
O0000316,C001976,2026-03-18 15:51:00,completed,14715.61
O0000317,C006021,2026-05-12 06:31:00,completed,14701.48
O0000318,C006034,2026-06-07 05:27:00,completed,14740.92
O0000319,C003674,2026-06-15 21:45:00,completed,1911.95
O0000320,C004763,2026-04-30 13:05:00,cancelled,6944.77
O0000321,C004074,2026-05-14 13:18:00,completed,2185.95
O0000322,C008367,2026-04-19 13:06:00,completed,8860.62
O0000323,C009594,2026-01-21 16:01:00,completed,7752.66
O0000324,C006820,2026-06-30 09:20:00,completed,8541.66
O0000325,C005593,2026-02-17 06:11:00,completed,5333.99
O0000326,C001912,2026-01-04 05:41:00,completed,14477.12
O0000327,C004962,2026-06-08 19:23:00,completed,11693.99
O0000328,C000261,2026-06-28 06:54:00,completed,5083.86
O0000329,C007140,2026-06-10 17:12:00,completed,7222.93
O0000330,C007296,2026-05-05 15:01:00,cancelled,10364.05
O0000331,C009330,2026-04-11 01:21:00,completed,9457.12
O0000332,C009481,2026-06-02 23:35:00,refunded,9781.16
O0000333,C006549,2026-05-05 16:37:00,completed,12811.02
O0000334,C004389,2026-06-15 13:56:00,completed,1450.11
O0000335,C007346,2026-06-28 13:01:00,completed,5018.82
O0000336,C009629,2026-06-25 10:58:00,completed,1288.52
O0000337,C002149,2026-03-17 23:45:00,completed,4170.57
O0000338,C007739,2026-02-11 19:13:00,completed,4199.33
O0000339,C009925,2026-05-06 03:50:00,completed,13428.32
O0000340,C002863,2026-05-09 01:51:00,completed,1946.16
O0000341,C001978,2026-05-24 07:31:00,completed,8174.98
O0000342,C008445,2026-06-04 21:06:00,completed,12860.66
O0000343,C001735,2026-06-06 19:50:00,cancelled,9174.66
O0000344,C002573,2026-03-16 22:28:00,pending,10453.66
O0000345,C002015,2026-02-21 14:26:00,pending,18233.64
O0000346,C002484,2026-05-16 13:50:00,completed,7084.6
O0000347,C008457,2026-06-24 11:01:00,completed,5855.16
O0000348,C002693,2026-04-22 01:25:00,pending,98.56
O0000349,C009414,2026-01-15 20:45:00,pending,26307.54
O0000350,C008648,2026-06-06 04:44:00,completed,70.08
O0000351,C008920,2026-06-09 19:41:00,completed,9203.76
O0000352,C003233,2026-03-19 02:02:00,completed,13151.88
O0000353,C008542,2026-03-29 20:10:00,completed,15334.9
O0000354,C000983,2026-04-06 08:40:00,completed,2213.18
O0000355,C007353,2026-03-18 18:47:00,completed,5263.16
O0000356,C004662,2026-06-20 22:36:00,completed,6406.65
O0000357,C008462,2026-05-30 06:52:00,pending,4983.34
O0000358,C001019,2026-04-19 04:30:00,completed,17178.36
O0000359,C004321,2026-05-30 15:40:00,completed,9929.0
O0000360,C002669,2026-02-06 16:08:00,completed,15247.14
O0000361,C000535,2026-02-10 17:23:00,cancelled,9380.42
O0000362,C004996,2026-04-06 09:18:00,completed,16362.39
O0000363,C003533,2026-02-16 23:31:00,completed,3148.73
O0000364,C009270,2026-04-26 10:50:00,completed,6978.16
O0000365,C008271,2026-06-12 14:48:00,completed,2293.11
O0000366,C006712,2026-04-10 07:57:00,completed,14336.15
O0000367,C001451,2026-02-12 22:01:00,completed,4306.55
O0000368,C009343,2026-05-14 06:48:00,completed,514.21
O0000369,C001971,2026-06-18 17:11:00,refunded,467.85
O0000370,C006584,2026-05-31 01:31:00,cancelled,11263.7
O0000371,C008650,2026-03-23 12:16:00,completed,11728.37
O0000372,C006673,2026-06-23 05:03:00,completed,5549.54
O0000373,C004883,2026-04-10 03:20:00,completed,4625.22
O0000374,C008077,2026-05-11 16:24:00,cancelled,7858.46
O0000375,C009063,2026-04-15 02:30:00,completed,6171.54
O0000376,C009078,2026-05-31 21:06:00,completed,2240.34
O0000377,C004991,2026-05-26 13:28:00,completed,2897.76
O0000378,C004017,2026-05-18 13:58:00,completed,4754.18
O0000379,C004740,2026-06-17 05:00:00,completed,16397.77
O0000380,C000746,2026-02-11 23:34:00,completed,2560.56
O0000381,C002289,2026-05-23 08:56:00,completed,4555.32
O0000382,C004283,2026-04-26 08:15:00,completed,3092.37
O0000383,C003451,2026-04-28 19:21:00,completed,6438.59
O0000384,C002844,2026-04-16 17:57:00,completed,9929.0
O0000385,C008817,2026-01-21 20:41:00,completed,12471.59
O0000386,C000139,2026-02-01 14:23:00,cancelled,3629.4
O0000387,C005863,2026-02-19 02:52:00,completed,9863.46
O0000388,C000603,2026-03-13 15:57:00,completed,19264.31
O0000389,C009325,2026-05-09 15:10:00,completed,2271.44
O0000390,C001066,2026-02-02 08:59:00,completed,6833.64
O0000391,C003144,2026-06-23 00:44:00,completed,3453.08
O0000392,C000033,2026-04-20 20:43:00,cancelled,1412.91
O0000393,C007087,2026-04-15 08:07:00,completed,232.76
O0000394,C003679,2026-01-13 08:58:00,completed,8621.5
O0000395,C001341,2026-05-27 00:47:00,completed,1123.22
O0000396,C003226,2026-02-12 10:19:00,completed,2407.49
O0000397,C000457,2026-05-03 13:51:00,completed,9923.0
O0000398,C005584,2026-01-14 10:33:00,pending,1438.21
O0000399,C009830,2026-06-08 14:48:00,completed,2151.02
O0000400,C006184,2026-03-22 22:04:00,pending,2219.36
O0000401,C001078,2026-01-27 21:03:00,completed,8447.16
O0000402,C007429,2026-04-09 14:50:00,completed,9596.56
O0000403,C001770,2026-01-27 00:38:00,completed,3092.06
O0000404,C008338,2026-03-07 11:26:00,completed,3524.84
O0000405,C003047,2026-03-04 04:51:00,completed,21974.75
O0000406,C004769,2026-04-05 00:33:00,completed,5022.6
O0000407,C003202,2026-02-21 20:58:00,completed,14833.24
O0000408,C004910,2026-04-18 10:10:00,completed,2395.49
O0000409,C003655,2026-06-27 07:29:00,completed,21891.29
O0000410,C003019,2026-01-02 11:00:00,completed,10826.95
O0000411,C000720,2026-01-08 06:12:00,completed,6390.5
O0000412,C000353,2026-02-15 08:58:00,completed,5831.82
O0000413,C004999,2026-04-27 07:23:00,pending,6035.36
O0000414,C001072,2026-01-31 04:56:00,cancelled,4803.78
O0000415,C003141,2026-05-17 12:44:00,completed,936.96
O0000416,C009623,2026-02-18 17:18:00,pending,4071.52
O0000417,C000873,2026-06-11 08:55:00,completed,4964.5
O0000418,C001334,2026-05-01 21:39:00,completed,10924.35
O0000419,C008169,2026-05-13 14:11:00,completed,5019.0
O0000420,C007763,2026-03-10 18:25:00,completed,11872.74
O0000421,C006487,2026-02-25 09:27:00,cancelled,3255.18
O0000422,C009021,2026-01-22 04:48:00,completed,6844.89
O0000423,C003772,2026-05-30 01:29:00,completed,5775.44
O0000424,C005195,2026-03-11 12:01:00,completed,10873.02
O0000425,C004529,2026-02-28 03:07:00,completed,19640.91
O0000426,C003124,2026-06-30 19:08:00,refunded,19496.82
O0000427,C006617,2026-04-14 18:48:00,completed,3201.8
O0000428,C006513,2026-02-28 07:46:00,completed,16430.58
O0000429,C005582,2026-01-22 10:54:00,completed,11800.15
O0000430,C009462,2026-02-02 09:47:00,completed,1979.01
O0000431,C005568,2026-02-27 13:27:00,completed,742.05
O0000432,C005343,2026-05-31 00:36:00,pending,13049.82
O0000433,C006401,2026-01-17 17:24:00,completed,16567.12
O0000434,C000440,2026-02-17 06:04:00,cancelled,8133.6
O0000435,C007450,2026-01-15 11:33:00,completed,633.18
O0000436,C001815,2026-02-03 17:26:00,completed,30514.36
O0000437,C002602,2026-06-04 18:19:00,completed,2795.16
O0000438,C000122,2026-02-06 14:04:00,pending,6030.72
O0000439,C009327,2026-05-06 14:29:00,completed,11928.93
O0000440,C006408,2026-06-06 05:26:00,completed,16205.8
O0000441,C003006,2026-06-28 18:06:00,completed,5083.97
O0000442,C003560,2026-05-07 13:48:00,completed,2542.38
O0000443,C008265,2026-03-25 13:28:00,completed,8961.09
O0000444,C006543,2026-02-19 12:02:00,completed,16218.28
O0000445,C001118,2026-01-22 17:42:00,completed,13052.51
O0000446,C009945,2026-01-26 05:18:00,completed,9411.32
O0000447,C000184,2026-06-23 08:09:00,completed,5563.43
O0000448,C006400,2026-06-26 09:28:00,completed,16263.13
O0000449,C006139,2026-03-03 06:05:00,completed,7306.0
O0000450,C002751,2026-02-12 01:26:00,completed,4797.46
O0000451,C008876,2026-04-12 13:07:00,completed,11064.77
O0000452,C003486,2026-04-28 07:04:00,completed,11985.39
O0000453,C006736,2026-03-19 19:31:00,refunded,13947.24
O0000454,C002178,2026-03-27 05:40:00,pending,18572.53
O0000455,C000290,2026-06-05 18:28:00,completed,2942.15
O0000456,C002033,2026-03-21 07:47:00,completed,1050.55
O0000457,C006137,2026-05-08 09:12:00,completed,10975.82
O0000458,C005203,2026-06-14 01:33:00,pending,12181.42
O0000459,C005616,2026-03-04 06:34:00,completed,15372.02
O0000460,C001147,2026-02-19 01:40:00,refunded,1807.76
O0000461,C002058,2026-01-24 05:37:00,completed,7189.07
O0000462,C003237,2026-03-04 13:11:00,completed,11042.17
